Error,Word
আ য ক া ল,আ জ ক া ল
অ ল ্ ফ া য় ু ব ি শ ি ষ ্ ট,অ ল ্ প া য় ু ব ি শ ি ষ ্ ট
অ ব ব ৃ থ,অ ব ভ ৃ থ
অ য ো র ে,অ ঝ ো র ে
আ ণ ্ ধ ো ল ্ ল া স,আ ন ্ দ ো ল ্ ল া স
আ ধ ি ঝ,আ ধ ি জ
অ ন ্ দ ক া র ে,অ ন ্ ধ ক া র ে
অ ণ ্ ণ ছ ত ্ র,অ ন ্ ন ছ ত ্ র
অ প ণ ো ধ ন,অ প ন ো দ ন
অ ণ ু ণ ্ ন ত,অ ন ু ন ্ ন ত
অ ন ু ভ ন ্ ধ ে,অ ন ু ব ন ্ ধ ে
অ শ ি ক ্ স ি ত,অ শ ি ক ্ ষ ি ত
অ ল ্ ফ া য় ু ধ ক ে,অ ল ্ প া য় ু ধ ক ে
অ ন ত ি ফ ূ র ্ ভ,অ ন ত ি প ূ র ্ ব
আ ন ি চ র ে,আ ন ি ছ র ে
আ ভ ি র,আ ব ি র
অ ণ ্ ত র জ ্ ঞ,অ ন ্ ত র জ ্ ঞ
অ ণ ু ল ্ ল ঙ ্ ঘ ্ য,অ ন ু ল ্ ল ঙ ্ ঘ ্ য
অ ভ ো ব া হ ি ক া,অ ব ো ব া হ ি ক া
আ ত ্ ম ন ি র ্ ব র ক া র ী,আ ত ্ ম ন ি র ্ ভ র ক া র ী
অ থ ভ ্ য থ ে,অ থ ব ্ য থ ে
অ ন া ধ ি,অ ন া দ ি
অ ছ ক ্ ষ ু,অ চ ক ্ ষ ু
অ ভ ি ক ৃ ত ভ া ভ ে,অ ব ি ক ৃ ত ভ া ব ে
অ ঞ ্ জ ল ি ব ণ ্ ধ,অ ঞ ্ জ ল ি ব ন ্ ধ
অ ক র ন ী য়,অ ক র ণ ী য়
অ ব ি য ো জ ্ য ত া,অ ভ ি য ো জ ্ য ত া
অ দ র ভ ি শ ি ষ ্ ট া,অ ধ র ব ি শ ি ষ ্ ট া
অ ফ ্ র ো ক ম ্,অ প ্ র ো ক ম ্
অ চ ি ক ি ত ্ স া,অ চ ি ক ি ত ্ শ া
অ ল ্ ফ ক া ল ম া ত ্ র,অ ল ্ প ক া ল ম া ত ্ র
আ দ ি প ত ্ জ ে র,আ ধ ি প ত ্ য ে র
অ ত ি থ ি ধ ে র,অ ত ি থ ি দ ে র
অ শ ্ ভ র ূ ফ ে,অ শ ্ ব র ূ প ে
অ ব র ্ ত ম া ণ,অ ব র ্ ত ম া ন
আ ত ্ ম া ভ ল ম ্ ব ি ণ ী,আ ত ্ ম া ব ল ম ্ ব ি ন ী
অ ণ ু গ ্ র া হ ক,অ ন ু গ ্ র া হ ক
অ ষ ম স ি ণ ্,অ স ম স ি ন ্
আ গ ো চ া ল ো,আ গ ো ছ া ল ো
অ ত ষ ী,অ ত স ী
অ ল ঙ ্ ক ক র ন,অ ল ঙ ্ ক ক র ণ
অ ণ ু দ ্ দ,অ ন ু দ ্ ধ
অ ন ু ভ র ্ ত ি ত া,অ ন ু ব র ্ ত ি ত া
অ ত ্ ণ ি,অ ত ্ ন ি
অ ফ ঠ ি ত,অ প ঠ ি ত
আ ক া ষ য া ন,আ ক া শ য া ন
অ ঙ ্ ক ফ ্ র ণ া ল ি,অ ঙ ্ ক প ্ র ণ া ল ি
অ ত ি ম ু গ ্ দ,অ ত ি ম ু গ ্ ধ
অ ব ে ধ ো ন ি য় ো,অ ব ে দ ো ন ি য় ো
আ ছ ম ্,আ চ ম ্
অ ম ্ ভ ু ন ি দ ি,অ ম ্ ব ু ন ি ধ ি
অ ং স ু ম য়,অ ং শ ু ম য়
অ ণ ু শ ো চ ণ,অ ন ু শ ো চ ন
আ ক ো ভ ্ ব ো র ি,আ ক ো ব ্ ব ো র ি
অ প ধ ষ ্ থ,অ প দ স ্ থ
অ ব া দ ্ য ত া,অ ব া ধ ্ য ত া
অ ণ ্ ত র ত ম,অ ন ্ ত র ত ম
অ ণ ্ ত র ী য়,অ ন ্ ত র ী য়
অ ন ু ষ ্ ম র ি,অ ন ু স ্ ম র ি
অ ক ু ল ী ণ,অ ক ু ল ী ন
অ ম ্ ভ ল ে,অ ম ্ ব ল ে
আ ছ ্ ছ া দ ণ ী,আ চ ্ ছ া দ ন ী
অ ম ্ ল ো ধ ্,অ ম ্ ল ো দ ্
অ ভ া ঙ ম ু খ ে,অ ব া ঙ ম ু খ ে
অ দ ্ ভ ি ত ী য়,অ দ ্ ব ি ত ী য়
অ ন ্ দ ক া র,অ ন ্ ধ ক া র
অ ণ ্ ধ ী ভ ূ ত,অ ন ্ ধ ী ভ ূ ত
অ ষ ু স ্ থ ত া য ন ি ত,অ স ু স ্ থ ত া জ ন ি ত
অ ন ু ষ ন ্ দ া য় ী,অ ন ু স ন ্ ধ া য় ী
অ ব ি য ো ঝ ্ য,অ ভ ি য ো জ ্ য
অ র ্ থ ষ ূ চ ক,অ র ্ থ স ূ চ ক
আ ম া ণ ত দ া র,আ ম া ন ত দ া র
অ ণ ু ক া র ী,অ ন ু ক া র ী
আ য হ া,আ জ হ া
অ ধ ি ষ া য় ি ত,অ ধ ি শ া য় ি ত
অ ং ষ গ ্ র হ ণ,অ ং শ গ ্ র হ ণ
অ ণ ি ণ ্ ত ন ী য়,অ ন ি ন ্ ত ন ী য়
অ ফ হ র ণ ী য়,অ প হ র ণ ী য়
অ ক ্ স ক ্ র ী ড় া,অ ক ্ ষ ক ্ র ী ড় া
আ খ ্ ঝ ে য়,আ খ ্ য ে য়
অ শ ম া ধ া ন,অ স ম া ধ া ন
আ ঁ ছ া ল ে,আ ঁ চ া ল ে
অ ধ ে খ া,অ দ ে খ া
আ ব া ং,আ ভ া ং
অ ক ল ্ ঝ া ণ ক র,অ ক ল ্ য া ণ ক র
অ শ ্ ত ্ য র ্ থ,অ স ্ ত ্ য র ্ থ
অ ল ্ ফ ভ ো ঝ ী,অ ল ্ প ভ ো জ ী
অ প ছ য় ক া র ী,অ প চ য় ক া র ী
অ চ ্ চ া য়,অ চ ্ ছ া য়
আ গ ু স া র ্,আ গ ু শ া র ্
অ ছ ি ক ি র ্,অ চ ি ক ি র ্
আ ক ্ ক ে ল ম ণ ্ ত,আ ক ্ ক ে ল ম ন ্ ত
আ ক শ ী,আ ক স ী
অ ধ র ো স ্ ঠ ে র,অ ধ র ো ষ ্ ঠ ে র
অ ভ ি ব া হ ি ত া র,অ ব ি ব া হ ি ত া র
অ ব ্ ঝ া স ে,অ ভ ্ য া স ে
অ ব া ব ্ জ,অ ভ া ব ্ য
আ ছ ি স ে,আ চ ি স ে
অ স ম ্ প া ধ ন ত া,অ স ম ্ প া দ ন ত া
অ ধ ো ভ দ ো ণ ্,অ ধ ো ব দ ো ন ্
অ ব ি ম া ন ি ন ী,অ ভ ি ম া ন ি ন ী
আ ঢ ্ ঢ া র ই,আ ড ্ ড া র ই
অ চ ্ চ,অ চ ্ ছ
আ ম া ধ ি গ ক ে,আ ম া দ ি গ ক ে
আ ঘ া ত ধ া ন ে,আ ঘ া ত দ া ন ে
অ ন ি ম ে শ,অ ন ি ম ে ষ
অ ণ ু ল ে ফ ন,অ ন ু ল ে প ন
আ গ ু ণ ে র,আ গ ু ন ে র
আ ভ া ল ভ ৃ দ ্ ধ ব ণ ি ত া,আ ব া ল ব ৃ দ ্ ধ ব ন ি ত া
অ ন ্ ঝ া জ ্ য,অ ন ্ য া য ্ য
আ ঝ ি য,আ জ ি য
অ প শ শ ্ ত,অ প শ স ্ ত
অ ভ য ্ ঞ া স ূ চ ক,অ ব জ ্ ঞ া স ূ চ ক
আ ত স ভ জ ি ভ ি শ ে ষ,আ ত শ ব জ ি ব ি শ ে ষ
অ ব ্ ঝ া ল া,অ ব ্ য া ল া
অ ণ ব র ু ধ ্ ধ,অ ন ব র ু দ ্ ধ
অ ষ ্ ত ্ র ব র ্ ষ ণ,অ স ্ ত ্ র ব র ্ ষ ণ
আ ফ ্ য া য় ি ত,আ প ্ য া য় ি ত
আ খ ্ ঝ া প ত ্ র,আ খ ্ য া প ত ্ র
অ ণ ন ্ য া ষ া দ া র ণ,অ ন ন ্ য া স া ধ া র ণ
আ জ ী ব ণ,আ জ ী ব ন
অ ন ্ ত র া ল ভ র ্ ত ি ন ী,অ ন ্ ত র া ল ব র ্ ত ি ন ী
অ ন ্ ভ র ্ থ,অ ন ্ ব র ্ থ
অ ক ্ র ি য় া ণ ি ষ ্ ঠ,অ ক ্ র ি য় া ন ি ষ ্ ঠ
আ ম শ ত ্ ত ্ ব,আ ম স ত ্ ত ্ ব
অ শ ্ ভ ভ া হ ি ত,অ শ ্ ব ব া হ ি ত
অ ্ য া স ট ্ র ে,অ ্ য া শ ট ্ র ে
অ ন ু ফ া য়,অ ন ু প া য়
অ ভ স ্ থ া ন ্ ত র ফ ্ র া ফ ্ ত,অ ব স ্ থ া ন ্ ত র প ্ র া প ্ ত
আ থ া ল ি ফ া থ া ল ি,আ থ া ল ি প া থ া ল ি
অ ব ি ন ে ত া ক ে,অ ভ ি ন ে ত া ক ে
আ ত ্ ম গ র ্ ভ,আ ত ্ ম গ র ্ ব
অ দ ঃ প া ত,অ ধ ঃ প া ত
অ ধ ্ য া ত ্ ম ত ত ্ ত ্ ভ,অ ধ ্ য া ত ্ ম ত ত ্ ত ্ ব
অ ষ া র ্,অ শ া র ্
অ ভ য় ব ী,অ ব য় ব ী
আ ভ ু ড় া,আ ব ু ড় া
অ ষ ম ো,অ শ ম ো
অ ণ ু শ ী ল ণ ে র,অ ন ু শ ী ল ন ে র
অ ণ ু র ো ধ ঝ ্ ঞ া প,অ ন ু র ো ধ জ ্ ঞ া প
আ প ্ র ি ক া,আ ফ ্ র ি ক া
অ ন ু ছ ্ ছ া র ি ত,অ ন ু চ ্ চ া র ি ত
অ ভ ্ য া প া র,অ ব ্ য া প া র
অ ব হ া র ্ ঝ,অ ব হ া র ্ য
অ ভ ি ব া হ ি ত ক া ল,অ ব ি ব া হ ি ত ক া ল
অ ভ ষ ্ থ া ন ক র ণ,অ ব স ্ থ া ন ক র ণ
অ ফ ত ্ য,অ প ত ্ য
আ ভ র ূ,আ ব র ূ
অ ত ি ভ া হ ি ত,অ ত ি ব া হ ি ত
অ ণ ী ক,অ ন ী ক
আ ক ম ্ প ণ ্,আ ক ম ্ প ন ্
অ স ো ঊ শ ্,অ শ ো উ শ ্
আ ক ম ্ ফ ম া ন,আ ক ম ্ প ম া ন
আ জ ত ো ণ ্,আ জ ত ো ন ্
অ ণ ু গ া ম ী র া,অ ন ু গ া ম ী র া
অ ব ি ম া ন দ ি য ন ি ত,অ ভ ি ম া ন দ ি জ ন ি ত
অ ঙ ্ গ হ া ণ ি,অ ঙ ্ গ হ া ন ি
আ দ ম ু খ,আ ধ ম ু খ
অ ফ া চ ্ য,অ প া চ ্ য
অ ভ হ ি,অ ব হ ি
অ গ ্ ণ ্ য ু ৎ ফ া ত ে,অ গ ্ ন ্ য ু ৎ প া ত ে
অ শ স ্ ত ু শ ্ ট,অ স স ্ ত ু ষ ্ ট
অ ণ ু ষ ্ ঠ া ণ ঝ ো গ ্ য,অ ন ু ষ ্ ঠ া ন য ো গ ্ য
অ ঝ শ ঃ,অ য শ ঃ
অ ্ জ া গ া র ো,অ ্ য া গ া র ো
অ র ্ দ া ম ি ক,অ র ্ ধ া ম ি ক
অ ণ ু ন য় ী,অ ন ু ন য় ী
অ ম স ৃ ন ত া,অ ম স ৃ ণ ত া
অ র ্ দ র া ত ্ র ি র,অ র ্ ধ র া ত ্ র ি র
অ ব ্ র ব ে দ ী,অ ভ ্ র ভ ে দ ী
আ ম খ া শ,আ ম খ া স
অ ফ ি শ ে,অ ফ ি স ে
অ ন া ভ ৃ ত ্ ত ি,অ ন া ব ৃ ত ্ ত ি
আ দ ি ক ্ য শ ূ চ ক,আ ধ ি ক ্ য স ূ চ ক
অ ণ র ্ থ ক,অ ন র ্ থ ক
আ ঊ ল া,আ উ ল া
আ ভ ল ু শ ্,আ ব ল ু শ ্
অ ফ র ি স ী ম,অ প র ি স ী ম
আ য ে জ,আ জ ে জ
আ ত ্ ম ধ র ্ শ ণ,আ ত ্ ম দ র ্ শ ন
আ গ া জ ু ক ্ ত,আ গ া য ু ক ্ ত
আ ক ী ধ া,আ ক ী দ া
অ ভ দ ম ন,অ ব দ ম ন
অ ষ ু খ ে র,অ স ু খ ে র
অ দ ্ য া ষ ী ন,অ ধ ্ য া স ী ন
আ দ ে শ ফ ত ্ র ে র,আ দ ে শ প ত ্ র ে র
অ গ ্ ণ ি ক া ণ া,অ গ ্ ন ি ক া ণ া
আ ব া ঙ ্,আ ভ া ঙ ্
আ ম ধ া ন ী ও য় া ল া,আ ম দ া ন ী ও য় া ল া
অ শ ্ থ ি ম য ্ জ া গ ত,অ স ্ থ ি ম জ ্ জ া গ ত
আ ণ ্ ঢ ু,আ ণ ্ ড ু
অ ণ ি প ু ন া,অ ন ি প ু ণ া
আ ট ক া ণ ো,আ ট ক া ন ো
অ ্ য া ক া ধ শ ্,অ ্ য া ক া দ শ ্
অ ণ ব ি জ ্ ঞ া,অ ন ভ ি জ ্ ঞ া
অ ন দ ি ক ভ া র,অ ন ধ ি ক ব া র
অ ম ৃ ভ,অ ম ৃ ব
অ র ্ থ প ্ র ধ,অ র ্ থ প ্ র দ
অ ফ ছ ে ষ ্ ট া,অ প চ ে ষ ্ ট া
অ ্ য া ক া ঊ ন ্,অ ্ য া ক া উ ন ্
অ ব ধ ্ জ া,অ ব ধ ্ য া
আ ক ্ র ম ন ে,আ ক ্ র ম ণ ে
অ প গ ু ন,অ প গ ু ণ
অ ত ি ল ো ব ী,অ ত ি ল ো ভ ী
আ ছ া ণ া,আ ছ া ন া
অ ম ু স ল ম া ণ ধ ে র,অ ম ু স ল ম া ন দ ে র
আ ত ্ ম ত ৃ ফ ্ ত ি,আ ত ্ ম ত ৃ প ্ ত ি
অ ণ ্ ণ দ া ত ্ র ী,অ ন ্ ন দ া ত ্ র ী
আ ঝ ্ ঞ া ধ ী ণ,আ জ ্ ঞ া ধ ী ন
অ ত ্ য ল ্ ফ ক া ল,অ ত ্ য ল ্ প ক া ল
অ র ্ থ ল ো ব ী,অ র ্ থ ল ো ভ ী
আ ট ফ হ র,আ ট প হ র
অ ক থ ো ণ ্,অ ক থ ো ন ্
অ ্ ঝ া র া র ু ট,অ ্ য া র া র ু ট
অ ভ ল ী ল া ক ্ র ম ে,অ ব ল ী ল া ক ্ র ম ে
অ ম র ্ শ,অ ম র ্ ষ
অ ফ র ট ি র,অ প র ট ি র
আ ত ্ ম ভ র ্ গ,আ ত ্ ম ব র ্ গ
আ ত ষ প র স ্ ত,আ ত শ প র স ্ ত
অ শ ং ব র ন ী য়,অ স ং ব র ণ ী য়
অ ্ জ া ট া চ ি ক ে শ ্,অ ্ য া ট া চ ি ক ে স ্
অ চ ি হ ্ ণ,অ চ ি হ ্ ন
অ ক ু ষ ্ থ ল,অ ক ু স ্ থ ল
আ ঈ ট া,আ ই ট া
আ ম ষ ্ থ ল ী,আ ম স ্ থ ল ী
অ ষ ক া ল,অ স ক া ল
অ ম ে ধ ্ ঝ,অ ম ে ধ ্ য
আ ণ ্ ধ ি,আ ন ্ ধ ি
আ ত ্ ম ভ র ্ ৎ শ ণ া,আ ত ্ ম ভ র ্ ৎ স ন া
আ প ি ণ ো,আ প ি ন ো
অ ণ ্ ন গ ঠ ি ত,অ ন ্ ন গ ঠ ি ত
অ র ্ থ ল ি ণ ্,অ র ্ থ ল ি ন ্
অ ন ু স ্ ট ু প ্,অ ন ু ষ ্ ট ু প ্
অ ব ি শ ্ ত ী র ্ ন,অ ব ি স ্ ত ী র ্ ণ
অ ভ া ঝ ণ,অ ভ া জ ন
অ ক প ট ছ ি ত ্ ত,অ ক প ট চ ি ত ্ ত
অ র ্ থ ফ ূ র ্ ণ,অ র ্ থ প ূ র ্ ণ
আ ঘ া ত ষ ং ক ্ র া ন ্ ত,আ ঘ া ত স ং ক ্ র া ন ্ ত
অ প ো ছ ি ক ি র ্,অ প ো চ ি ক ি র ্
অ ফ ্ র ্ জ া শ ি ত,অ প ্ র ্ য া শ ি ত
অ ন স ম ্ ভ ভ ত া,অ ন স ম ্ ভ ব ত া
আ ত ্ ম ন া স,আ ত ্ ম ন া শ
অ ক স ্ ট ক ল ্ প ন া,অ ক ষ ্ ট ক ল ্ প ন া
আ দ খ া ন া,আ ধ খ া ন া
অ ণ ি চ ্ ছ া শ ত ্ ত ্ ব ে,অ ন ি চ ্ ছ া স ত ্ ত ্ ব ে
আ ফ ্ ঝ া য় ন,আ প ্ য া য় ন
আ চ ্ চ ম,আ চ ্ ছ ম
অ ষ ্ ট ণ া গ ে র,অ ষ ্ ট ন া গ ে র
অ ভ হ া স,অ ব হ া স
আ ণ া হ ্,আ ন া হ ্
অ ণ া থ ি,অ ন া থ ি
অ ন ্ ন প ি ণ ্ ঢ,অ ন ্ ন প ি ণ ্ ড
অ শ া য ো ণ ্,অ শ া জ ো ন ্
অ ফ া ং ক ্ ত ে য়,অ প া ং ক ্ ত ে য়
আ ত ্ ম ী য় স য ্ য ন ে র,আ ত ্ ম ী য় স জ ্ জ ন ে র
অ ং শ হ ী ণ,অ ং শ হ ী ন
আ দ ি ভ া স,আ দ ি ব া স
আ ঝ ণ ব ি,আ জ ন ব ি
অ শ ম ঞ ্ জ,অ স ম ঞ ্ জ
অ ফ ক ্ ষ ফ া ত,অ প ক ্ ষ প া ত
অ ং ষ ী ক র ণ,অ ং শ ী ক র ণ
আ ণ া ম,আ ন া ম
অ শ ্ ভ া র ো হ ী ধ ে র,অ শ ্ ব া র ো হ ী দ ে র
আ ত ্ ম ম ্ ব র ি ত া,আ ত ্ ম ম ্ ভ র ি ত া
অ ং ষ ি,অ ং শ ি
আ ণ ো ন ্,আ ন ো ন ্
অ ত ি ফ ্ র য ন,অ ত ি প ্ র জ ন
অ ফ ু চ ্ চ,অ প ু চ ্ ছ
আ ন ু র ূ ফ ্,আ ন ু র ূ প ্
অ র ছ ি ত,অ র চ ি ত
অ ফ ভ ্ য য়,অ প ব ্ য য়
অ ব া ব ঝ া ত,অ ভ া ব জ া ত
অ ভ ো ধ,অ ব ো ধ
আ ত ্ ম ম ্ ব র ি,আ ত ্ ম ম ্ ভ র ি
অ র ্ থ প ি শ া ছ,অ র ্ থ প ি শ া চ
আ ভ র ্ ত ন ে র,আ ব র ্ ত ন ে র
অ ক ্ স য়,অ ক ্ ষ য়
অ শ ম া ণ ব য় স ্ ক,অ স ম া ন ব য় স ্ ক
আ ছ া র ী,আ চ া র ী
অ ণ া ব ৃ শ ্,অ ন া ব ৃ শ ্
অ ভ গ ু ণ ্ ঠ ন ে,অ ব গ ু ণ ্ ঠ ন ে
অ ব ি ঝ ্ ঞ ত া শ ূ ন ্ য ত া,অ ভ ি জ ্ ঞ ত া শ ূ ন ্ য ত া
অ ব দ ৌ ত ি ক,অ ব ধ ৌ ত ি ক
আ ধ ি ত ্ য ভ া র,আ দ ি ত ্ য ব া র
আ ঞ ্ য ু ম া ন,আ ঞ ্ জ ু ম া ন
আ ক ছ া,আ ক চ া
আ ত ্ ম ভ ি স ্ ব া স ী,আ ত ্ ম ব ি শ ্ ব া স ী
অ র ্ দ ন ি র ্ ম ি ত,অ র ্ ধ ন ি র ্ ম ি ত
অ র ু গ ি ণ ্,অ র ু গ ি ন ্
অ জ ু ক ্ ত ত া,অ য ু ক ্ ত ত া
আ ভ ে স ্ ত,আ ব ে স ্ ত
আ দ া ঈ,আ দ া ই
অ র ্ ধ ্ ধ,অ র ্ দ ্ ধ
অ ঞ ্ ছ ল ে,অ ঞ ্ চ ল ে
আ জ ধ া,আ জ দ া
আ গ ু ণ,আ গ ু ন
আ ধ ল ্,আ দ ল ্
অ ন ু ম া ন ষ া প ে ক ্ শ,অ ন ু ম া ন স া প ে ক ্ ষ
অ ন ু ক ম ্ ফ,অ ন ু ক ম ্ প
অ দ ি ক ক া ল,অ ধ ি ক ক া ল
অ দ ি ধ ৈ ব ত ে র,অ ধ ি দ ৈ ব ত ে র
অ ব ্ র া ত ্,অ ভ ্ র া ত ্
অ ঙ ্ গ ব ি ণ ্ য া স,অ ঙ ্ গ ব ি ন ্ য া স
অ ব ি ষ ো ঝ ্,অ ব ি শ ো জ ্
অ জ ো দ ্ য া র,অ য ো ধ ্ য া র
অ ণ ু ভ া দ ঝ ো গ ্ য,অ ন ু ব া দ য ো গ ্ য
অ ন ্ ন ভ ্ জ ঞ ্ জ ন া দ ি র,অ ন ্ ন ব ্ য ঞ ্ জ ন া দ ি র
অ ব ণ ম ্ র,অ ব ন ম ্ র
আ গ ু ণ ী,আ গ ু ন ী
আ ভ ি ঝ ম ণ,আ ভ ি জ ম ন
অ দ ি ক া র গ ত,অ ধ ি ক া র গ ত
অ ্ য া র ো ফ ্ ল ে শ ্,অ ্ য া র ো প ্ ল ে স ্
অ ণ ৈ ক ্ য ে র,অ ন ৈ ক ্ য ে র
অ ন ু গ ্ র হ ভ ি ষ ে ষ,অ ন ু গ ্ র হ ব ি শ ে ষ
আ দ ক া ম া র ি য় া,আ ধ ক া ম া র ি য় া
অ ষ া ন ্,অ শ া ন ্
অ ক ি ঞ ্ ছ ন ে র,অ ক ি ঞ ্ চ ন ে র
অ ভ ো ল ্,অ ব ো ল ্
অ ণ ু ণ া দ,অ ন ু ন া দ
অ দ ী ত ী,অ ধ ী ত ী
অ ফ ত ্ য ন ি র ্ ব ি শ ে শ ে,অ প ত ্ য ন ি র ্ ব ি শ ে ষ ে
অ প ক ্ র া ণ ্ ত,অ প ক ্ র া ন ্ ত
অ ম ৃ ত ত ্ ভ,অ ম ৃ ত ত ্ ব
অ ল ু ফ া ধ া র,অ ল ু ফ া দ া র
অ ণ ি ন ্,অ ন ি ন ্
অ ছ ি র ক া ল ে,অ চ ি র ক া ল ে
আ ণ ্ ত র ি ক ভ া ভ ে,আ ন ্ ত র ি ক ভ া ব ে
অ ন ু ষ ্ ভ া র,অ ন ু স ্ ব া র
অ ব গ ু ণ ্ ঠ ণ,অ ব গ ু ন ্ ঠ ন
অ দ ণ ্ ত ে র,অ দ ন ্ ত ে র
অ ভ ি ত ো ত ্,অ ব ি ত ো ত ্
অ ন ু ধ য় ্,অ ন ু দ য় ্
অ ব ি ন ি ব ে শ ে র,অ ভ ি ন ি ব ে শ ে র
অ ঝ া ত ্,অ জ া ত ্
আ ঊ ল া ই ল ো,আ উ ল া ই ল ো
আ ম ল ধ া র ি,আ ম ল দ া র ি
আ ধ া ন ে,আ দ া ন ে
অ র ্ দ ম া গ ধ ী,অ র ্ ধ ম া গ ধ ী
অ ণ ষ ্ ত ি ত ্ ব ব া ছ ক,অ ন স ্ ত ি ত ্ ব ব া চ ক
অ ণ ফ ন ে য় ো,অ ন প ন ে য় ো
অ ন ু ধ ্ ধ ত,অ ন ু দ ্ ধ ত
আ দ ে য় ো,আ ধ ে য় ো
অ ল ফ ্,অ ল প ্
অ দ ৈ র ্ য ে র,অ ধ ৈ র ্ য ে র
অ ফ শ ি দ ্ ধ া ন ্ ত,অ প স ি দ ্ ধ া ন ্ ত
অ ফ র ি চ য়,অ প র ি চ য়
আ ভ ি র ্ ব া ব,আ ব ি র ্ ভ া ব
অ ণ ্ ঝ ম ন ে,অ ন ্ য ম ন ে
অ ছ ি র ক া র ী,অ চ ি র ক া র ী
অ ল ্ ফ জ ্ ঞ া ণ স ম ্ প ণ ্ ণ,অ ল ্ প জ ্ ঞ া ন স ম ্ প ন ্ ন
অ শ ও য় া স া,অ স ও য় া স া
অ ন ু ভ া ত,অ ন ু ব া ত
অ ণ ন ্ ভ য়,অ ন ন ্ ব য়
আ য ী ম া,আ জ ী ম া
অ ভ স ন ্ ন ত া হ ে ত ু,অ ব স ন ্ ন ত া হ ে ত ু
অ ণ ু ভ া ভ ন া য়,অ ন ু ভ া ব ন া য়
অ শ ্ ত ি,অ স ্ ত ি
আ ক া র ঝ ু ক ্ ত,আ ক া র য ু ক ্ ত
অ ন ু ধ য়,অ ন ু দ য়
অ ফ ো হ ত ো,অ প ো হ ত ো
অ ণ ল ্,অ ন ল ্
আ ব া ধ ্,আ ব া দ ্
অ ম ি ত ব ু দ ্ দ ি,অ ম ি ত ব ু দ ্ ধ ি
আ ত ্ ম প ্ র ক া স ে র,আ ত ্ ম প ্ র ক া শ ে র
অ র ্ দ া ঙ ্ গ ী,অ র ্ ধ া ঙ ্ গ ী
অ ভ ক া শ ম ত ো,অ ব ক া শ ম ত ো
অ ফ ো ম া ন ্,অ প ো ম া ন ্
অ র ্ থ ভ া চ ক,অ র ্ থ ব া চ ক
আ ধ র ে,আ দ র ে
আ জ ্ ঞ া ভ হ,আ জ ্ ঞ া ব হ
অ স ্ ফ ট,অ স ্ প ট
অ ব ণ ী ত,অ ব ন ী ত
অ ছ ক ি ত,অ চ ক ি ত
অ ভ ি ম ত ষ ু ছ ক,অ ভ ি ম ত স ু চ ক
অ ব ি ম ু খ ী,অ ভ ি ম ু খ ী
অ ল ্ ফ া য় ু ঃ,অ ল ্ প া য় ু ঃ
আ ত ্ ম ত ্ জ া গ ী,আ ত ্ ম ত ্ য া গ ী
আ ভ ি ষ ্ ক ৃ ত া,আ ব ি ষ ্ ক ৃ ত া
অ প ু ট া,অ ফ ু ট া
অ ভ ি চ ্ ছ ে দ ্ য,অ ব ি চ ্ ছ ে দ ্ য
অ গ ্ র ব া গ স ্ থ ি ত,অ গ ্ র ভ া গ স ্ থ ি ত
আ চ া ড় ে,আ ছ া ড় ে
আ ম ল চ ণ ্ ধ ্ র ে র,আ ম ল চ ন ্ দ ্ র ে র
অ ণ ৃ স ং স ্ য,অ ন ৃ শ ং স ্ য
অ ণ ্ য ক র ্ ম,অ ন ্ য ক র ্ ম
অ দ র ্ ম ে র,অ ধ র ্ ম ে র
অ ক ৃ প ণ ্,অ ক ৃ প ন ্
অ শ ন ্ ম ত,অ স ন ্ ম ত
আ ধ ু র ি,আ দ ু র ি
আ ম গ া চ ক ে,আ ম গ া ছ ক ে
অ ল ভ ড ্ য া,অ ল ব ড ্ য া
অ ব ম া ণ ণ ী য়,অ ব ম া ন ন ী য়
অ ম ্ ল ফ ি ত ্ ত,অ ম ্ ল প ি ত ্ ত
অ ণ ু ক ম ্ ফ ন,অ ন ু ক ম ্ প ন
আ গ ু ণ ধ র া,আ গ ু ন ধ র া
আ ভ ো ল ্,আ ব ো ল ্
অ ণ ু দ া ত ্ ত,অ ন ু দ া ত ্ ত
আ ক া র হ ী ণ,আ ক া র হ ী ন
অ ক ি ণ ্ চ ি ত ্,অ ক ি ন ্ চ ি ত ্
অ প ম া ণ ি ত া,অ প ম া ন ি ত া
আ ঙ ি ণ া ত ে,আ ঙ ি ন া ত ে
অ ণ ্ ধ ত া ম ি শ ্ র,অ ন ্ ধ ত া ম ি স ্ র
অ ব ি স য় ্,অ ব ি শ য় ্
অ ভ া য় ু,অ ব া য় ু
অ য ত ্ ণ ঝ া ত,অ য ত ্ ন জ া ত
অ ্ য া ঢ ভ া ণ ্ স,অ ্ য া ড ভ া ন ্ স
অ শ ম ্ ব ব,অ স ম ্ ভ ব
আ য ন ্ ম,আ জ ন ্ ম
আ ক শ ্ ম ি ক ত া,আ ক স ্ ম ি ক ত া
অ ন ্ ব ি ত স ূ ছ ক,অ ন ্ ব ি ত স ূ চ ক
অ ব গ া ঈ,অ ব গ া ই
অ শ া ধ া র ণ ত ্ ভ,অ স া ধ া র ণ ত ্ ব
অ ভ ি শ ং ভ া দ ি ত ্ ব,অ ব ি স ং ব া দ ি ত ্ ব
অ ব ি শ ে শ ি ত,অ ব ি শ ে ষ ি ত
অ ্ য া ল া ছ ি,অ ্ য া ল া চ ি
